heatName,heatDay,heatTime,dorsal,category,name,email,contact
Men  - Heat 1,2025-05-12,08:00,0800-01,Hybrid Men,Name LastName Athlete 1,jose.filipe.chavarria+at1@gmail.com,910000001
Men  - Heat 1,2025-05-12,08:00,0800-02,Hybrid Men,Name LastName Athlete 2,jose.filipe.chavarria+at2@gmail.com,910000002
Men  - Heat 1,2025-05-12,08:00,0800-03,Hybrid Men,Name LastName Athlete 3,jose.filipe.chavarria+at3@gmail.com,910000003
Men  - Heat 1,2025-05-12,08:00,0800-04,Hybrid Men,Name LastName Athlete 4,jose.filipe.chavarria+at4@gmail.com,910000004
Men  - Heat 1,2025-05-12,08:00,0800-05,Hybrid Men,Name LastName Athlete 5,jose.filipe.chavarria+at5@gmail.com,910000005
Men  - Heat 1,2025-05-12,08:00,0800-06,Hybrid Men,Name LastName Athlete 6,jose.filipe.chavarria+at6@gmail.com,910000006
Men  - Heat 1,2025-05-12,08:00,0800-07,Hybrid Men,Name LastName Athlete 7,jose.filipe.chavarria+at7@gmail.com,910000007
Men - Heat 2,2025-05-12,08:15,0815-01,Hybrid Men,Name LastName Athlete 8,jose.filipe.chavarria+at8@gmail.com,910000008
Men - Heat 2,2025-05-12,08:15,0815-02,Hybrid Men,Name LastName Athlete 9,jose.filipe.chavarria+at9@gmail.com,910000009
Men - Heat 2,2025-05-12,08:15,0815-03,Hybrid Men,Name LastName Athlete 10,jose.filipe.chavarria+at10@gmail.com,910000010
Men - Heat 2,2025-05-12,08:15,0815-04,Hybrid Men,Name LastName Athlete 11,jose.filipe.chavarria+at11@gmail.com,910000011
Men - Heat 2,2025-05-12,08:15,0815-05,Hybrid Men,Name LastName Athlete 12,jose.filipe.chavarria+at12@gmail.com,910000012
Men - Heat 2,2025-05-12,08:15,0815-06,Hybrid Men,Name LastName Athlete 13,jose.filipe.chavarria+at13@gmail.com,910000013
Men - Heat 2,2025-05-12,08:15,0815-07,Hybrid Men,Name LastName Athlete 14,jose.filipe.chavarria+at14@gmail.com,910000014
Men - Heat 3,2025-05-12,08:30,0830-01,Hybrid Men,Name LastName Athlete 15,jose.filipe.chavarria+at15@gmail.com,910000015
Men - Heat 3,2025-05-12,08:30,0830-02,Hybrid Men,Name LastName Athlete 16,jose.filipe.chavarria+at16@gmail.com,910000016
