internal_id,heatName,heatDay,heatTime,dorsal,category,name1,email1,contact1,name2,email2,contact2,name,email,contact,name3,email3,contact3,name4,email4,contact4
R10001,Hybrid Doubles Men - Heat 2,2025-05-12,12:30,9287-01,Hybrid Doubles Men,Pair Athlete 1A,jose.filipe.chavarria+pair1A@gmail.com,920000001,Pair Athlete 1B,jose.filipe.chavarria+pair1B@gmail.com,920001001,,,,,,,,,
R10002,Hybrid Pro Doubles Mixed - Heat 3,2025-05-10,13:00,3892-02,Hybrid Pro Doubles Mixed,Pair Athlete 2A,jose.filipe.chavarria+pair2A@gmail.com,920000002,Pair Athlete 2B,jose.filipe.chavarria+pair2B@gmail.com,920001002,,,,,,,,,
S10003,Hybrid Pro Women - Heat 4,2025-05-15,18:30,3558-03,Hybrid Pro Women,,,,,,,Name LastName Athlete 3,jose.filipe.chavarria+at3@gmail.com,910000003,,,,,,
R10004,Hybrid Doubles Women - Heat 5,2025-05-15,13:00,1380-04,Hybrid Doubles Women,Pair Athlete 4A,jose.filipe.chavarria+pair4A@gmail.com,920000004,Pair Athlete 4B,jose.filipe.chavarria+pair4B@gmail.com,920001004,,,,,,,,,
R10005,Hybrid Doubles Mixed - Heat 6,2025-05-12,16:30,9240-05,Hybrid Doubles Mixed,Pair Athlete 5A,jose.filipe.chavarria+pair5A@gmail.com,920000005,Pair Athlete 5B,jose.filipe.chavarria+pair5B@gmail.com,920001005,,,,,,,,,
S10006,Hybrid Men - Heat 7,2025-05-11,10:30,2659-06,Hybrid Men,,,,,,,Name LastName Athlete 6,jose.filipe.chavarria+at6@gmail.com,910000006,,,,,,
R10007,Hybrid Team Relay - Heat 8,2025-05-12,8:00,5132-07,Hybrid Team Relay,Relay Athlete 7A,jose.filipe.chavarria+relay7A@gmail.com,930000007,Relay Athlete 7B,jose.filipe.chavarria+relay7B@gmail.com,930001007,,,,Relay Athlete 7C,jose.filipe.chavarria+relay7C@gmail.com,930002007,Relay Athlete 7D,jose.filipe.chavarria+relay7D@gmail.com,930003007
R10008,Hybrid Team Relay - Heat 9,2025-05-10,17:30,1387-08,Hybrid Team Relay,Relay Athlete 8A,jose.filipe.chavarria+relay8A@gmail.com,930000008,Relay Athlete 8B,jose.filipe.chavarria+relay8B@gmail.com,930001008,,,,Relay Athlete 8C,jose.filipe.chavarria+relay8C@gmail.com,930002008,Relay Athlete 8D,jose.filipe.chavarria+relay8D@gmail.com,930003008
R10009,Hybrid Doubles Women - Heat 10,2025-05-10,13:00,1545-09,Hybrid Doubles Women,Pair Athlete 9A,jose.filipe.chavarria+pair9A@gmail.com,920000009,Pair Athlete 9B,jose.filipe.chavarria+pair9B@gmail.com,920001009,,,,,,,,,
S10010,Hybrid Pro Women - Heat 1,2025-05-14,12:30,4110-10,Hybrid Pro Women,,,,,,,Name LastName Athlete 10,jose.filipe.chavarria+at10@gmail.com,910000010,,,,,,
R10011,Hybrid Pro Doubles Men - Heat 2,2025-05-13,15:30,1035-11,Hybrid Pro Doubles Men,Pair Athlete 11A,jose.filipe.chavarria+pair11A@gmail.com,920000011,Pair Athlete 11B,jose.filipe.chavarria+pair11B@gmail.com,920001011,,,,,,,,,
