internal_id,heatName,heatDay,heatTime,dorsal,category,name,email,contact
S10001,Men  - Heat 1,2025-05-12,08:00,0800-01,Hybrid Men,Name LastName Athlete 1,jose.filipe.chavarria+at1@gmail.com,910000001
S10002,Men  - Heat 1,2025-05-12,08:00,0800-02,Hybrid Men,Name LastName Athlete 2,jose.filipe.chavarria+at2@gmail.com,910000002
S10003,Men  - Heat 1,2025-05-12,08:00,0800-03,Hybrid Men,Name LastName Athlete 3,jose.filipe.chavarria+at3@gmail.com,910000003
S10004,Men  - Heat 1,2025-05-12,08:00,0800-04,Hybrid Men,Name LastName Athlete 4,jose.filipe.chavarria+at4@gmail.com,910000004
S10005,Men  - Heat 1,2025-05-12,08:00,0800-05,Hybrid Men,Name LastName Athlete 5,jose.filipe.chavarria+at5@gmail.com,910000005
S10006,Men  - Heat 1,2025-05-12,08:00,0800-06,Hybrid Men,Name LastName Athlete 6,jose.filipe.chavarria+at6@gmail.com,910000006
S10007,Men  - Heat 1,2025-05-12,08:00,0800-07,Hybrid Men,Name LastName Athlete 7,jose.filipe.chavarria+at7@gmail.com,910000007
S10008,Men - Heat 2,2025-05-12,08:15,0815-01,Hybrid Men,Name LastName Athlete 8,jose.filipe.chavarria+at8@gmail.com,910000008
S10009,Men - Heat 2,2025-05-12,08:15,0815-02,Hybrid Men,Name LastName Athlete 9,jose.filipe.chavarria+at9@gmail.com,910000009
S10010,Men - Heat 2,2025-05-12,08:15,0815-03,Hybrid Men,Name LastName Athlete 10,jose.filipe.chavarria+at10@gmail.com,910000010
S10011,Men - Heat 2,2025-05-12,08:15,0815-04,Hybrid Men,Name LastName Athlete 11,jose.filipe.chavarria+at11@gmail.com,910000011
S10012,Men - Heat 2,2025-05-12,08:15,0815-05,Hybrid Men,Name LastName Athlete 12,jose.filipe.chavarria+at12@gmail.com,910000012
S10013,Men - Heat 2,2025-05-12,08:15,0815-06,Hybrid Men,Name LastName Athlete 13,jose.filipe.chavarria+at13@gmail.com,910000013
S10014,Men - Heat 2,2025-05-12,08:15,0815-07,Hybrid Men,Name LastName Athlete 14,jose.filipe.chavarria+at14@gmail.com,910000014
S10015,Men - Heat 3,2025-05-12,08:30,0830-01,Hybrid Men,Name LastName Athlete 15,jose.filipe.chavarria+at15@gmail.com,910000015
S10016,Men - Heat 3,2025-05-12,08:30,0830-02,Hybrid Men,Name LastName Athlete 16,jose.filipe.chavarria+at16@gmail.com,910000016
S10017,Men - Heat 3,2025-05-12,08:30,0830-03,Hybrid Men,Name LastName Athlete 17,jose.filipe.chavarria+at17@gmail.com,910000017
S10018,Men - Heat 3,2025-05-12,08:30,0830-04,Hybrid Men,Name LastName Athlete 18,jose.filipe.chavarria+at18@gmail.com,910000018
S10019,Men - Heat 3,2025-05-12,08:30,0830-05,Hybrid Men,Name LastName Athlete 19,jose.filipe.chavarria+at19@gmail.com,910000019
S10020,Men - Heat 3,2025-05-12,08:30,0830-06,Hybrid Men,Name LastName Athlete 20,jose.filipe.chavarria+at20@gmail.com,910000020
S10021,Men - Heat 3,2025-05-12,08:30,0830-07,Hybrid Men,Name LastName Athlete 21,jose.filipe.chavarria+at21@gmail.com,910000021
S10022,Men - Heat 4,2025-05-12,08:35,0835-01,Hybrid Men,Name LastName Athlete 22,jose.filipe.chavarria+at22@gmail.com,910000022
S10023,Men - Heat 4,2025-05-12,08:35,0835-02,Hybrid Men,Name LastName Athlete 23,jose.filipe.chavarria+at23@gmail.com,910000023
S10024,Men - Heat 4,2025-05-12,08:35,0835-03,Hybrid Men,Name LastName Athlete 24,jose.filipe.chavarria+at24@gmail.com,910000024
S10025,Men - Heat 4,2025-05-12,08:35,0835-04,Hybrid Men,Name LastName Athlete 25,jose.filipe.chavarria+at25@gmail.com,910000025
S10026,Men - Heat 4,2025-05-12,08:35,0835-05,Hybrid Men,Name LastName Athlete 26,jose.filipe.chavarria+at26@gmail.com,910000026
S10027,Men - Heat 4,2025-05-12,08:35,0835-06,Hybrid Men,Name LastName Athlete 27,jose.filipe.chavarria+at27@gmail.com,910000027
S10028,Men - Heat 4,2025-05-12,08:35,0835-07,Hybrid Men,Name LastName Athlete 28,jose.filipe.chavarria+at28@gmail.com,910000028
S10029,Men - Heat 5,2025-05-12,08:55,0855-01,Hybrid Men,Name LastName Athlete 29,jose.filipe.chavarria+at29@gmail.com,910000029
S10030,Men - Heat 5,2025-05-12,08:55,0855-02,Hybrid Men,Name LastName Athlete 30,jose.filipe.chavarria+at30@gmail.com,910000030
S10031,Men - Heat 5,2025-05-12,08:55,0855-03,Hybrid Men,Name LastName Athlete 31,jose.filipe.chavarria+at31@gmail.com,910000031
