internalId,dorsal,category,heatName,heatTime,heatDay,name1,email1,contact1,name2,email2,contact2,name3,email3,contact3,name4,email4,contact4
S101000,0900-0,Hybrid Women,considerate collaboration,09:00,2025-03-13,Macy Kertzmann,jose.filipe.chavarria+macy.kertzmann@gmail.com.com,1-981-563-0232 x37766,,,,,,,,,
R101001,0900-1,Hybrid Team Relay,considerate collaboration,09:00,2025-03-13,Harmony Dickinson,jose.filipe.chavarria+harmony.dickinson@gmail.com.com,280.972.8826 x7261,Misael Lynch,jose.filipe.chavarria+misael.lynch@gmail.com.com,737-572-8255,Aurore Lang,jose.filipe.chavarria+aurore.lang@gmail.com.com,1-529-565-1222 x00511,Ricardo Hermiston,jose.filipe.chavarria+ricardo.hermiston@gmail.com.com,(752) 819-6885 x067
S101002,0900-2,Hybrid Pro Women,considerate collaboration,09:00,2025-03-13,Nona Schmitt,jose.filipe.chavarria+nona.schmitt@gmail.com.com,1-949-696-7193,,,,,,,,,
P101003,0900-3,Hybrid Doubles Men,considerate collaboration,09:00,2025-03-13,Shanon Crooks,jose.filipe.chavarria+shanon.crooks@gmail.com.com,486.556.4546 x3405,Marlon Ryan,jose.filipe.chavarria+marlon.ryan@gmail.com.com,(809) 362-7803 x8649,,,,,,
P101004,0900-4,Hybrid Pro Doubles Men,considerate collaboration,09:00,2025-03-13,Raymundo Kihn,jose.filipe.chavarria+raymundo.kihn@gmail.com.com,724-874-1642 x8090,Theresia Rice,jose.filipe.chavarria+theresia.rice@gmail.com.com,(349) 643-7669 x4467,,,,,,
S101005,0900-5,Hybrid Men,considerate collaboration,09:00,2025-03-13,Krystel Bednar,jose.filipe.chavarria+krystel.bednar@gmail.com.com,463.385.8253 x371,,,,,,,,,
P101006,0900-6,Hybrid Doubles Mixed,considerate collaboration,09:00,2025-03-13,Alvah Doyle,jose.filipe.chavarria+alvah.doyle@gmail.com.com,628-955-3114 x79891,Holden Jacobson,jose.filipe.chavarria+holden.jacobson@gmail.com.com,1-494-202-8908,,,,,,
R101007,0900-7,Hybrid Team Relay,considerate collaboration,09:00,2025-03-13,Wilber Terry,jose.filipe.chavarria+wilber.terry@gmail.com.com,618.600.2830 x486,Margaretta Kessler,jose.filipe.chavarria+margaretta.kessler@gmail.com.com,235-506-0757 x4740,Bailey Prosacco,jose.filipe.chavarria+bailey.prosacco@gmail.com.com,329.318.0330 x9010,Rylan Goyette,jose.filipe.chavarria+rylan.goyette@gmail.com.com,(749) 336-1051 x50080
P102000,0920-0,Hybrid Pro Doubles Women,golden roundabout,09:20,2025-03-13,Tyrel Roob,jose.filipe.chavarria+tyrel.roob@gmail.com.com,1-960-346-5663 x87069,Tyrel Hodkiewicz,jose.filipe.chavarria+tyrel.hodkiewicz@gmail.com.com,842.331.8281 x38610,,,,,,
P102001,0920-1,Hybrid Doubles Men,golden roundabout,09:20,2025-03-13,Candelario Volkman,jose.filipe.chavarria+candelario.volkman@gmail.com.com,(224) 360-8846 x313,Jaida McKenzie,jose.filipe.chavarria+jaida.mckenzie@gmail.com.com,1-707-825-6517,,,,,,
S102002,0920-2,Hybrid Pro Men,golden roundabout,09:20,2025-03-13,Reed Jacobi,jose.filipe.chavarria+reed.jacobi@gmail.com.com,(881) 801-9999,,,,,,,,,
S102003,0920-3,Hybrid Women,golden roundabout,09:20,2025-03-13,Kristin Sawayn,jose.filipe.chavarria+kristin.sawayn@gmail.com.com,327-384-8923 x87391,,,,,,,,,
R102004,0920-4,Hybrid Pro Team Relay,golden roundabout,09:20,2025-03-13,Webster Kuphal,jose.filipe.chavarria+webster.kuphal@gmail.com.com,1-296-733-3722,Milo Macejkovic,jose.filipe.chavarria+milo.macejkovic@gmail.com.com,(653) 894-3791 x6884,Heidi Murphy,jose.filipe.chavarria+heidi.murphy@gmail.com.com,938.709.6048,Lisandro Rippin,jose.filipe.chavarria+lisandro.rippin@gmail.com.com,1-484-867-2281
R102005,0920-5,Hybrid Pro Team Relay,golden roundabout,09:20,2025-03-13,Abagail Rippin,jose.filipe.chavarria+abagail.rippin@gmail.com.com,1-359-681-2461 x54421,Vito Kunde,jose.filipe.chavarria+vito.kunde@gmail.com.com,587-690-9828 x19107,Guido Murphy,jose.filipe.chavarria+guido.murphy@gmail.com.com,721-516-3479 x054,Tracy Williamson,jose.filipe.chavarria+tracy.williamson@gmail.com.com,1-484-298-8654 x27643
S102006,0920-6,Hybrid Men,golden roundabout,09:20,2025-03-13,Tianna Volkman,jose.filipe.chavarria+tianna.volkman@gmail.com.com,(416) 209-1403,,,,,,,,,
S103000,0940-0,Hybrid Pro Women,zesty derby,09:40,2025-03-13,Tate Nikolaus,jose.filipe.chavarria+tate.nikolaus@gmail.com.com,766-707-1105,,,,,,,,,
S103001,0940-1,Hybrid Pro Men,zesty derby,09:40,2025-03-13,Naomi Upton,jose.filipe.chavarria+naomi.upton@gmail.com.com,1-695-901-9857,,,,,,,,,
R103002,0940-2,Hybrid Team Relay,zesty derby,09:40,2025-03-13,Bert Anderson,jose.filipe.chavarria+bert.anderson@gmail.com.com,(837) 289-0255,Mireya White,jose.filipe.chavarria+mireya.white@gmail.com.com,435.312.7365 x2295,Bert Kihn,jose.filipe.chavarria+bert.kihn@gmail.com.com,1-889-977-8278,Zetta Toy,jose.filipe.chavarria+zetta.toy@gmail.com.com,1-551-215-3186
R103003,0940-3,Hybrid Team Relay,zesty derby,09:40,2025-03-13,Willa Pfannerstill,jose.filipe.chavarria+willa.pfannerstill@gmail.com.com,1-340-782-9988,Gudrun Nitzsche,jose.filipe.chavarria+gudrun.nitzsche@gmail.com.com,1-246-893-1720,Brianne Deckow,jose.filipe.chavarria+brianne.deckow@gmail.com.com,745-993-3390 x3891,Kade Koelpin,jose.filipe.chavarria+kade.koelpin@gmail.com.com,892-483-5753 x52190
