internal_id,email,name,sizeS,sizeM,sizeL,sizeXL,sizeXXL
AT00001,jose.filipe.chavarria+2@gmail.com,Name of 2,,1,,,
AT00002,jose.filipe.chavarria+3@gmail.com,Name of 3,,,,1,
AT00003,jose.filipe.chavarria+4@gmail.com,Name of 4,,2,2,,
AT00004,jose.filipe.chavarria+5@gmail.com,Name of 5,,,1,,
AT00005,jose.filipe.chavarria+6@gmail.com,Name of 6,,,1,,
AT00006,jose.filipe.chavarria+7@gmail.com,Name of 7,,1,,,
AT00007,jose.filipe.chavarria+8@gmail.com,Name of 8,,,2,,
AT00008,jose.filipe.chavarria+9@gmail.com,Name of 9,,1,,,
AT00009,jose.filipe.chavarria+10@gmail.com,Name of 10,,,,1,
AT00010,jose.filipe.chavarria+11@gmail.com,Name of 11,,,1,,
AT00011,jose.filipe.chavarria+12@gmail.com,Name of 12,,2,,,
AT00012,jose.filipe.chavarria+13@gmail.com,Name of 13,,1,,,
AT00013,jose.filipe.chavarria+14@gmail.com,Name of 14,,1,,,
AT00014,jose.filipe.chavarria+15@gmail.com,Name of 15,,,,,1
AT00015,jose.filipe.chavarria+16@gmail.com,Name of 16,,1,,,
AT00016,jose.filipe.chavarria+17@gmail.com,Name of 17,,,1,,
AT00017,jose.filipe.chavarria+18@gmail.com,Name of 18,,1,,,
AT00018,jose.filipe.chavarria+19@gmail.com,Name of 19,,,1,,
AT00019,jose.filipe.chavarria+20@gmail.com,Name of 20,,,1,,
AT00020,jose.filipe.chavarria+21@gmail.com,Name of 21,,1,,,
AT00021,jose.filipe.chavarria+22@gmail.com,Name of 22,,1,,,
AT00022,jose.filipe.chavarria+23@gmail.com,Name of 23,1,,,,
AT00023,jose.filipe.chavarria+24@gmail.com,Name of 24,,,2,,
AT00024,jose.filipe.chavarria+25@gmail.com,Name of 25,,1,,,
AT00025,jose.filipe.chavarria+26@gmail.com,Name of 26,,,1,,
AT00026,jose.filipe.chavarria+27@gmail.com,Name of 27,,1,,,
AT00027,jose.filipe.chavarria+28@gmail.com,Name of 28,,,1,,
AT00028,jose.filipe.chavarria+29@gmail.com,Name of 29,,,1,,
AT00029,jose.filipe.chavarria+30@gmail.com,Name of 30,,2,,,
AT00030,jose.filipe.chavarria+31@gmail.com,Name of 31,1,,,,
AT00031,jose.filipe.chavarria+32@gmail.com,Name of 32,,,,,1
AT00032,jose.filipe.chavarria+33@gmail.com,Name of 33,,,1,,
AT00033,jose.filipe.chavarria+34@gmail.com,Name of 34,,,1,1,
AT00034,jose.filipe.chavarria+35@gmail.com,Name of 35,,,,1,
AT00035,jose.filipe.chavarria+36@gmail.com,Name of 36,,1,1,,
AT00036,jose.filipe.chavarria+37@gmail.com,Name of 37,,1,,,
AT00037,jose.filipe.chavarria+38@gmail.com,Name of 38,,1,,,
AT00038,jose.filipe.chavarria+39@gmail.com,Name of 39,,,1,,
AT00039,jose.filipe.chavarria+40@gmail.com,Name of 40,,,1,,
AT00040,jose.filipe.chavarria+41@gmail.com,Name of 41,1,,,,
AT00041,jose.filipe.chavarria+42@gmail.com,Name of 42,,1,,,
AT00042,jose.filipe.chavarria+43@gmail.com,Name of 43,1,,,,
AT00043,jose.filipe.chavarria+44@gmail.com,Name of 44,,1,,,
AT00044,jose.filipe.chavarria+45@gmail.com,Name of 45,,,1,,
AT00045,jose.filipe.chavarria+46@gmail.com,Name of 46,,1,,,
AT00046,jose.filipe.chavarria+47@gmail.com,Name of 47,1,1,,,
AT00047,jose.filipe.chavarria+48@gmail.com,Name of 48,,,1,,
AT00048,jose.filipe.chavarria+49@gmail.com,Name of 49,,,1,,
AT00049,jose.filipe.chavarria+50@gmail.com,Name of 50,,1,,,
AT00050,jose.filipe.chavarria+51@gmail.com,Name of 51,1,,,,
AT00051,jose.filipe.chavarria+52@gmail.com,Name of 52,,,1,,
AT00052,jose.filipe.chavarria+53@gmail.com,Name of 53,1,1,,,
AT00053,jose.filipe.chavarria+54@gmail.com,Name of 54,1,1,,,
AT00054,jose.filipe.chavarria+55@gmail.com,Name of 55,,,1,,
AT00055,jose.filipe.chavarria+56@gmail.com,Name of 56,,,1,,
AT00056,jose.filipe.chavarria+57@gmail.com,Name of 57,,1,,,
AT00057,jose.filipe.chavarria+58@gmail.com,Name of 58,,1,2,,
AT00058,jose.filipe.chavarria+59@gmail.com,Name of 59,1,1,,,
AT00059,jose.filipe.chavarria+60@gmail.com,Name of 60,1,,,,
AT00060,jose.filipe.chavarria+61@gmail.com,Name of 61,,1,,,
AT00061,jose.filipe.chavarria+62@gmail.com,Name of 62,,,,1,
AT00062,jose.filipe.chavarria+63@gmail.com,Name of 63,,1,,,
